"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GWDCK9VR","journalArticle","2025","Porter, Andrew Stone","DIS/ORDERED LIBERTY: ISLAMIC AND CATHOLIC FEMINIST PERSPECTIVES ON NATURAL LAW AFTER DOBBS","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/56d2b83e-e70c-38f5-9e7e-8c6b9b491cb1","","2025","2026-02-02 05:06:09","2026-02-05 02:12:45","","165-174","","2","23","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Natural law; Catholic feminism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FYLE68KJ","journalArticle","2025","Sendag, Duygu","HEALING AS MULTIMEDIA PRACTICE: CONTEMPORARY SPIRITUALITY IN TURKEY","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/71cc4ee3-636c-37c9-9bfb-52e94a60fe6f","","2025","2026-02-02 05:06:09","2026-02-05 02:12:45","","195-215","","2","23","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Spirituality; Healing; Turkey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TIESS4Y8","journalArticle","2025","Raschke, Carl","SAYING “YOU”: THE GRAMMAR OF ADDRESS AND THE LIMITATIONS OF COGNITIVE THEORIES OF RELIGION","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/c84dc90e-1308-3092-b8c4-7cc303a5edab","","2025","2026-02-02 05:06:09","2026-02-05 02:12:45","","175-195","","2","23","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y3MM7PZM","journalArticle","2025","Arnold, Philip P; Taylor, Victor E","A CONVERSATION WITH PHILIP P. ARNOLD ON THE URGENCY OF INDIGENOUS VALUES","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/fef39bcd-065a-389e-8562-635d58e5f043","","2025","2026-02-02 05:06:09","2026-02-05 02:12:45","","132-139","","2","23","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NFPQGJUI","journalArticle","2025","Grammenou, Iria","SUFFERING AND DYING IN MODERN PANDEMICS: A PARALLEL READING OF IVAN ILLICH, GIORGIO AGAMBEN AND BYUNG-CHUL HAN","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/724416da-7f67-3eee-bc73-944d678b2f28","","2025","2026-02-02 05:06:10","2026-02-05 02:12:45","","74-83","","1","24","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KS5HKDI","journalArticle","2025","Daga, Nisha; Joseph, George Kodimattam","THE SACRED END: EXPLORING THE ETHICAL PRACTICE OF SALLEKHANĀ IN JAINA TRADITION","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/afa3d53c-9242-33b6-aafa-66060dff7643","","2025","2026-02-02 05:06:10","2026-02-05 02:12:45","","1-16","","1","24","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H2TTZLP7","journalArticle","2025","Silverstein, Yaron","MEDICAL PROCEDURE IN THE HEAT OF EMOTION: THE POSITIONS OF MILITARY RABBINATE PERSONNEL ON POSTHUMOUS SPERM RETRIEVAL (PSR) FOLLOWING THE OCTOBER 7, 2023 ATTACK","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/aaa9d7e3-edcf-3afb-ad46-593fe43f7015","","2025","2026-02-02 05:06:10","2026-02-05 02:12:45","","156-186","","1","24","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C5XHPEMJ","journalArticle","2025","Durante, Christopher","RELIGION’S RELATIONSHIP WITH PUBLIC BIOETHICS: A CRITICAL HISTORICAL ASSESSMENT AND PRAGMATIC METHOD FOR INCLUSIVE DISCOURSE","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/f6fb15b5-6a42-3a85-8396-913c01bb7b20","","2025","2026-02-02 05:06:10","2026-02-05 02:12:45","","16-37","","1","24","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q5TRIHUY","journalArticle","2025","Ruan, Genn; Zhang, Xiaoqian","THE VIOLENCE OF CLASSIFICATION AND ETHICS OF SUICIDE: A REFLECTION ON QIU JIN'S DEATH","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/76bb2db5-e6a8-3b26-82bd-1933a4dcdbd8","","2025","2026-02-02 05:06:10","2026-02-05 02:12:45","","138-156","","1","24","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMI9U6NK","journalArticle","2025","Godazgar, Hossein","A 'SOCIAL CONSTRUCTIONIST' APPROACH TO 'MUSLIM BIOMEDICAL ETHICS': EXAMINING 'MUSLIM' OPPOSITION TO PHYSICIAN-ASSISTED SUICIDE","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/1dbdcf91-d87b-3312-b605-f1004eccc77a","","2025","2026-02-02 05:06:10","2026-02-05 02:12:45","","37-74","","1","24","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
